session_id,is_anomalous,attack_type,risk_score,reconstruction_error,anomaly_score,predicted_label
SES-003320,0,None,5.9,0.056264,0.010478,0
SES-002467,1,Data Exfiltration,42.2,0.425357,0.094747,0
SES-006477,0,None,4.7143,0.165981,0.035528,0
SES-009540,0,None,4.1,0.202339,0.043829,0
SES-005507,0,None,2.6,0.149964,0.031871,0
SES-008508,0,None,11.3625,0.179991,0.038726,0
SES-005307,0,None,4.375,0.17918,0.038541,0
SES-006885,0,None,2.7071,0.105998,0.021833,0
SES-006384,0,None,4.0,0.128477,0.026965,0
SES-012662,1,Suspicious PowerShell,38.925,0.435531,0.097069,0
SES-005874,0,None,7.0071,0.49785,0.111298,0
SES-005529,0,None,5.6,0.149594,0.031786,0
SES-001962,0,None,3.9141,0.189055,0.040796,0
SES-012108,0,None,3.7429,0.095991,0.019548,0
SES-005557,0,None,9.3125,0.423071,0.094225,0
SES-010713,0,None,7.5,0.212437,0.046134,0
SES-003902,0,None,2.2929,0.119435,0.024901,0
SES-001049,0,None,11.525,0.622835,0.139833,0
SES-006976,0,None,3.75,0.140429,0.029694,0
SES-000841,0,None,5.2143,0.299327,0.065972,0
SES-004957,0,None,2.875,0.175627,0.03773,0
SES-012182,0,None,5.8643,0.146421,0.031062,0
SES-000420,0,None,4.051,0.164305,0.035145,0
SES-001230,0,None,0.0,0.326137,0.072093,0
SES-003266,1,Low-and-Slow Exfiltration,42.1375,0.787101,0.177337,1
SES-008864,0,None,8.7071,0.13679,0.028863,0
SES-007813,0,None,4.5312,0.354851,0.078649,0
SES-001837,0,None,5.1429,0.098397,0.020097,0
SES-008381,0,None,1.3,0.159801,0.034117,0
SES-003728,0,None,2.75,0.380771,0.084567,0
SES-003934,0,None,3.85,0.128507,0.026972,0
SES-000137,0,None,0.0,0.109368,0.022602,0
SES-007321,0,None,4.1,0.115256,0.023946,0
SES-004759,0,None,3.675,0.267395,0.058682,0
SES-009329,0,None,4.9643,0.080313,0.015969,0
SES-006375,0,None,9.2313,0.238095,0.051992,0
SES-004688,0,None,0.6,0.030752,0.004653,0
SES-012932,0,None,2.55,0.281294,0.061855,0
SES-003223,0,None,4.7643,0.570148,0.127804,0
SES-007864,0,None,7.7125,0.266512,0.05848,0
SES-007839,0,None,3.525,0.112992,0.02343,0
SES-001472,0,None,3.5536,0.102135,0.020951,0
SES-006050,0,None,5.2,0.190674,0.041166,0
SES-007354,0,None,2.3833,0.239842,0.052391,0
SES-001143,0,None,6.5,0.051766,0.009451,0
SES-001673,0,None,4.4375,0.135259,0.028514,0
SES-002634,0,None,2.5167,0.18435,0.039722,0
SES-002175,0,None,5.4833,0.26162,0.057363,0
SES-001263,0,None,2.375,0.14113,0.029854,0
SES-002825,0,None,5.8929,0.41107,0.091485,0
SES-012450,0,None,5.875,0.164833,0.035266,0
SES-006781,0,None,2.55,0.154083,0.032811,0
SES-008930,0,None,0.75,0.042065,0.007236,0
SES-004809,0,None,5.725,0.104362,0.021459,0
SES-008185,1,Insider Threat,24.65,1.883505,0.42766,1
SES-007869,0,None,2.0937,0.407861,0.090752,0
SES-003936,0,None,6.2,0.254884,0.055825,0
SES-012168,0,None,7.7929,0.109267,0.022579,0
SES-003504,0,None,3.9187,0.20044,0.043395,0
SES-003079,0,None,4.9125,0.09064,0.018326,0
SES-006725,0,None,10.2038,0.267788,0.058772,0
SES-005609,0,None,4.425,0.131061,0.027555,0
SES-002927,0,None,1.05,0.059482,0.011213,0
SES-000934,0,None,5.875,0.092777,0.018814,0
SES-004643,0,None,10.5,0.256673,0.056234,0
SES-012147,0,None,6.8,0.13493,0.028438,0
SES-012299,0,None,5.925,0.131602,0.027679,0
SES-007760,1,USB Data Theft,34.6857,0.230605,0.050282,0
SES-010367,0,None,2.875,0.162147,0.034652,0
SES-009629,0,None,5.0438,0.143675,0.030435,0
SES-006280,0,None,2.8571,0.21485,0.046685,0
SES-005464,0,None,4.6286,0.121584,0.025391,0
SES-002548,0,None,2.675,0.087184,0.017537,0
SES-001036,0,None,5.1667,0.016548,0.00141,0
SES-007075,0,None,6.1,0.114194,0.023704,0
SES-009230,1,Data Exfiltration,42.25,0.500314,0.11186,0
SES-011999,0,None,7.1625,0.113135,0.023462,0
SES-000904,0,None,0.0,0.127975,0.02685,0
SES-001770,0,None,8.2857,0.116946,0.024332,0
SES-003162,1,Insider Threat,29.05,0.195646,0.042301,0
SES-003304,0,None,3.6808,0.433261,0.096551,0
SES-007218,0,None,5.625,0.278123,0.061131,0
SES-007773,0,None,4.1571,0.317314,0.070079,0
SES-006696,0,None,10.475,0.1273,0.026696,0
SES-002233,0,None,3.8214,0.12936,0.027167,0
SES-002774,0,None,3.9688,0.41351,0.092042,0
SES-010283,0,None,9.075,0.13941,0.029461,0
SES-000963,0,None,4.5,0.111892,0.023178,0
SES-001485,0,None,6.6607,0.202775,0.043928,0
SES-009558,0,None,3.975,0.155154,0.033056,0
SES-012215,0,None,1.925,0.167963,0.03598,0
SES-010027,1,Lateral Movement,38.15,0.989799,0.223616,1
SES-005265,0,None,4.6187,0.167263,0.03582,0
SES-004730,0,None,9.5,0.187023,0.040332,0
SES-000063,0,None,0.0,0.136335,0.028759,0
SES-009692,0,None,4.1875,0.161733,0.034558,0
SES-006016,0,None,5.45,0.137656,0.029061,0
SES-004131,0,None,3.9857,0.161137,0.034422,0
SES-007612,0,None,0.75,0.064655,0.012394,0
SES-011638,0,None,9.0714,0.142848,0.030246,0
SES-009537,0,None,3.9687,0.141689,0.029981,0
SES-010412,0,None,3.75,0.186782,0.040277,0
SES-012603,0,None,3.7125,0.153151,0.032598,0
SES-006052,0,None,6.7,0.199663,0.043218,0
SES-012078,0,None,5.9,0.120962,0.025249,0
SES-010836,0,None,2.7429,0.177487,0.038155,0
SES-011079,0,None,2.7786,0.350225,0.077593,0
SES-012899,0,None,3.8714,0.115816,0.024074,0
SES-010598,0,None,6.175,0.215158,0.046755,0
SES-003119,0,None,4.2,0.133031,0.028005,0
SES-002862,0,None,4.7269,0.267119,0.058619,0
SES-011017,0,None,4.3625,0.150068,0.031895,0
SES-012425,0,None,4.0,0.105373,0.02169,0
SES-005478,0,None,3.0,0.105188,0.021648,0
SES-005054,0,None,5.625,0.193718,0.04186,0
SES-008763,0,None,11.0227,0.408928,0.090996,0
SES-010623,0,None,4.575,0.020342,0.002276,0
SES-007288,0,None,3.65,0.451439,0.100701,0
SES-006835,0,None,3.2,0.133989,0.028224,0
SES-008220,1,Brute Force,36.1,2.94202,0.669333,1
SES-002044,0,None,11.1443,0.312556,0.068993,0
SES-004727,1,Suspicious PowerShell,46.6,0.280119,0.061587,0
SES-001203,0,None,7.1333,0.381003,0.08462,0
SES-006110,0,None,6.7731,0.326011,0.072065,0
SES-012556,0,None,6.7,0.434107,0.096744,0
SES-001112,0,None,6.625,0.141446,0.029926,0
SES-009155,0,None,6.9714,0.149648,0.031799,0
SES-011448,0,None,3.1313,0.418368,0.093151,0
SES-005488,0,None,2.7563,0.144857,0.030705,0
SES-011129,0,None,5.0,0.111141,0.023007,0
SES-003020,0,None,5.3375,0.146407,0.031059,0
SES-009997,0,None,7.2667,0.665134,0.149491,1
SES-011826,1,Data Exfiltration,42.9,0.456668,0.101895,0
SES-006295,0,None,2.6071,0.112667,0.023355,0
SES-001912,0,None,2.5,0.131892,0.027745,0
SES-003181,1,Malware Execution,41.0562,0.765795,0.172473,1
SES-009887,0,None,8.4,0.076649,0.015132,0
SES-006185,0,None,2.7,0.148142,0.031455,0
SES-004076,0,None,3.55,0.135894,0.028658,0
SES-003523,0,None,13.0036,0.430557,0.095934,0
SES-000062,0,None,0.0,0.138917,0.029349,0
SES-010328,0,None,4.8875,0.256855,0.056275,0
SES-005397,0,None,4.1571,0.135864,0.028652,0
SES-008751,0,None,6.7,0.058773,0.011051,0
SES-002756,0,None,6.4286,0.229817,0.050102,0
SES-006937,0,None,1.9,0.222748,0.048488,0
SES-006366,0,None,2.0,0.27259,0.059868,0
SES-011301,1,USB Data Theft,38.4179,0.460116,0.102683,0
SES-010152,0,None,4.2167,0.50024,0.111843,0
SES-009981,1,Malware Execution,48.8188,1.007307,0.227613,1
SES-007023,0,None,3.6857,0.256229,0.056133,0
SES-004831,0,None,5.125,0.243747,0.053283,0
SES-011164,0,None,5.0,0.288329,0.063461,0
SES-004830,1,Impossible Travel,36.85,0.095924,0.019533,0
SES-007909,0,None,10.15,0.164979,0.035299,0
SES-012345,0,None,11.925,0.048414,0.008686,0
SES-004566,0,None,2.875,0.20568,0.044591,0
SES-007245,0,None,5.6125,0.137873,0.02911,0
SES-007524,0,None,7.4,0.077702,0.015372,0
SES-003644,0,None,7.6071,0.092287,0.018702,0
SES-002938,0,None,3.825,0.15849,0.033817,0
SES-002212,0,None,5.5,0.174275,0.037421,0
SES-000100,0,None,0.0,0.114425,0.023757,0
SES-004878,0,None,4.25,0.074639,0.014673,0
SES-006473,0,None,6.8,0.109594,0.022654,0
SES-012050,0,None,2.125,0.117042,0.024354,0
SES-001164,0,None,4.0,0.109328,0.022593,0
SES-007672,0,None,6.4909,0.348517,0.077203,0
SES-004915,0,None,2.1,0.260097,0.057016,0
SES-001016,0,None,3.6667,0.236115,0.05154,0
SES-012544,0,None,6.7875,0.183356,0.039495,0
SES-012364,0,None,3.7071,0.160279,0.034226,0
SES-006552,0,None,10.825,0.264864,0.058104,0
SES-010309,0,None,2.9143,0.226189,0.049274,0
SES-011720,0,None,3.9143,0.162342,0.034697,0
SES-011967,0,None,9.6333,0.519261,0.116186,0
SES-006516,0,None,6.2,0.175703,0.037747,0
SES-001423,0,None,2.05,0.124159,0.025979,0
SES-011604,0,None,6.725,0.241503,0.05277,0
SES-010360,0,None,3.9333,0.393285,0.087424,0
SES-006579,1,Data Exfiltration,42.9077,0.882164,0.199041,1
SES-006167,0,None,6.3625,0.162995,0.034846,0
SES-012281,0,None,4.1063,0.122812,0.025672,0
SES-001091,0,None,3.2143,0.137112,0.028937,0
SES-000795,0,None,5.1571,0.104958,0.021595,0
SES-011565,0,None,5.4357,0.179015,0.038503,0
SES-005407,0,None,6.0125,0.36447,0.080845,0
SES-007739,0,None,2.2563,0.13959,0.029502,0
SES-008548,0,None,2.6937,0.127817,0.026814,0
SES-006672,0,None,6.8125,0.173502,0.037245,0
SES-002791,0,None,4.975,0.216079,0.046966,0
SES-012138,0,None,2.0357,0.190829,0.041201,0
SES-010245,0,None,7.55,0.111481,0.023085,0
SES-002231,0,None,2.7,0.181437,0.039056,0
SES-008851,0,None,10.05,0.178375,0.038357,0
SES-009930,0,None,4.0125,0.125915,0.02638,0
SES-000454,0,None,0.0,0.194009,0.041927,0
SES-003669,0,None,0.75,0.030779,0.004659,0
SES-005269,0,None,4.15,0.174388,0.037447,0
SES-008477,0,None,2.1,0.164761,0.035249,0
SES-005264,0,None,11.7114,0.380655,0.084541,0
SES-007175,0,None,10.825,0.145518,0.030856,0
SES-010744,0,None,5.3,0.10502,0.02161,0
SES-011235,0,None,4.2,0.251779,0.055116,0
SES-008035,0,None,4.4,0.177387,0.038132,0
SES-006692,0,None,2.5812,0.17501,0.037589,0
SES-008387,0,None,4.775,0.088302,0.017793,0
SES-005935,0,None,3.6719,0.506927,0.11337,0
SES-000721,0,None,3.7,0.152148,0.03237,0
SES-002773,0,None,6.6643,0.195271,0.042215,0
SES-009437,1,Brute Force,37.4929,1.050975,0.237583,1
SES-008322,0,None,3.6167,0.574648,0.128832,0
SES-000307,0,None,0.0,0.119403,0.024893,0
SES-003808,0,None,6.6687,0.158462,0.033811,0
SES-007824,0,None,6.0737,0.397574,0.088403,0
SES-006133,0,None,4.2143,0.331085,0.073223,0
SES-011901,0,None,1.05,0.048655,0.008741,0
SES-008892,0,None,5.8318,0.452836,0.10102,0
SES-004564,0,None,4.4,0.114162,0.023697,0
SES-007370,0,None,3.0,0.209726,0.045515,0
SES-007826,0,None,2.75,0.137922,0.029121,0
SES-001572,0,None,5.2679,0.254674,0.055777,0
SES-006815,0,None,2.8429,0.135068,0.02847,0
SES-012815,0,None,3.4714,0.135447,0.028556,0
SES-008766,0,None,5.9,0.419936,0.093509,0
SES-012917,1,Suspicious PowerShell,39.1167,0.316279,0.069843,0
SES-004943,0,None,3.925,0.088328,0.017798,0
SES-009769,0,None,2.2071,0.144478,0.030618,0
SES-012055,0,None,1.625,0.116341,0.024194,0
SES-003368,0,None,3.075,0.164291,0.035142,0
SES-005658,0,None,5.6,0.22985,0.05011,0
SES-010658,0,None,8.5,0.32526,0.071893,0
SES-000288,1,Privilege Escalation,38.0,0.659042,0.1481,1
SES-004524,0,None,9.45,0.122343,0.025565,0
SES-001973,0,None,0.4625,0.146562,0.031094,0
SES-003787,0,None,3.5833,0.118639,0.024719,0
SES-008231,0,None,5.05,0.093566,0.018995,0
SES-003624,0,None,8.55,0.03721,0.006128,0
SES-005918,0,None,6.65,0.161978,0.034614,0
SES-012250,0,None,5.85,0.182348,0.039265,0
SES-007617,0,None,3.4929,0.170777,0.036623,0
SES-003399,1,Device Spoofing,37.9,0.158766,0.03388,0
SES-000848,0,None,1.402,0.15526,0.03308,0
SES-008202,0,None,7.4071,0.505538,0.113053,0
SES-000168,0,None,0.0,0.333495,0.073773,0
SES-009049,0,None,4.6286,0.346975,0.076851,0
SES-002652,0,None,3.025,0.156105,0.033273,0
SES-001918,0,None,3.7,0.129896,0.027289,0
SES-008445,0,None,3.9,0.076598,0.01512,0
SES-007213,0,None,3.6312,0.145913,0.030946,0
SES-009240,0,None,12.4625,0.365892,0.08117,0
SES-005886,0,None,8.3,0.168837,0.03618,0
SES-011756,0,None,6.95,0.113978,0.023655,0
SES-012290,0,None,5.9875,0.15882,0.033893,0
SES-007541,0,None,5.8727,0.57562,0.129054,0
SES-008380,0,None,6.7364,0.425035,0.094673,0
SES-003522,0,None,6.35,0.080038,0.015906,0
SES-000086,0,None,0.0,0.139412,0.029462,0
SES-008944,0,None,4.05,0.015218,0.001107,0
SES-000275,0,None,0.0,0.131501,0.027656,0
SES-009215,1,Data Exfiltration,41.8357,1.218707,0.275879,1
SES-001281,0,None,4.4375,0.091812,0.018594,0
SES-007894,0,None,3.7125,0.176239,0.03787,0
SES-010215,0,None,10.975,0.270017,0.05928,0
SES-011207,0,None,3.8375,0.141289,0.02989,0
SES-005686,0,None,4.0875,0.168144,0.036021,0
SES-009967,0,None,3.5,0.091431,0.018507,0
SES-007036,0,None,4.75,0.017726,0.001679,0
SES-010592,0,None,11.525,0.386332,0.085837,0
SES-005585,0,None,9.8452,0.612996,0.137587,0
SES-005779,0,None,3.55,0.378519,0.084053,0
SES-000691,0,None,2.4524,0.199376,0.043152,0
SES-006393,0,None,4.525,0.178769,0.038447,0
SES-000797,0,None,4.575,0.614215,0.137865,0
SES-006640,0,None,5.5625,0.196375,0.042467,0
SES-001814,0,None,5.3,0.235682,0.051441,0
SES-002104,0,None,6.6212,0.437911,0.097613,0
SES-012112,0,None,4.0,0.229639,0.050062,0
SES-005260,0,None,6.575,0.054417,0.010056,0
SES-003339,0,None,9.2,0.164042,0.035085,0
SES-000249,0,None,0.0,0.057401,0.010737,0
SES-002083,0,None,2.9333,0.315502,0.069665,0
SES-003027,0,None,5.7,0.212181,0.046076,0
SES-007803,0,None,9.2375,0.08521,0.017087,0
SES-002064,0,None,2.2929,0.182695,0.039344,0
SES-002028,1,Beaconing C2,38.925,1.650381,0.374435,1
SES-005072,0,None,3.5937,0.288534,0.063508,0
SES-002766,0,None,2.925,0.299225,0.065949,0
SES-002211,0,None,7.5562,0.194482,0.042035,0
SES-007390,0,None,3.95,0.273119,0.059989,0
SES-006915,0,None,6.5875,0.123327,0.025789,0
SES-008694,0,None,4.675,0.193174,0.041736,0
SES-008214,0,None,3.8286,0.175433,0.037686,0
SES-012637,0,None,3.5786,0.644074,0.144682,0
SES-005353,0,None,3.1833,0.141591,0.029959,0
SES-004401,0,None,2.7214,0.059128,0.011132,0
SES-006113,0,None,4.5625,0.155374,0.033106,0
SES-012952,0,None,4.05,0.305109,0.067293,0
SES-012348,0,None,2.675,0.196162,0.042418,0
SES-004009,0,None,4.2,0.161094,0.034412,0
SES-003742,0,None,4.1,0.081887,0.016328,0
SES-012989,0,None,6.3,0.366636,0.08134,0
SES-012093,0,None,2.0929,0.100071,0.02048,0
SES-002526,0,None,3.8,0.297607,0.06558,0
SES-007101,0,None,3.9313,0.286932,0.063142,0
SES-001663,0,None,3.2,0.169519,0.036336,0
SES-006225,0,None,3.9714,0.159859,0.03413,0
SES-011622,0,None,3.8875,0.146792,0.031147,0
SES-010652,0,None,6.0,0.203681,0.044135,0
SES-001753,0,None,4.1,0.16447,0.035183,0
SES-006086,0,None,9.1,0.160631,0.034306,0
SES-000390,1,Brute Force,32.0,1.403703,0.318115,1
SES-007737,0,None,3.575,0.09389,0.019068,0
SES-012106,0,None,8.35,0.146424,0.031063,0
SES-011487,0,None,4.5,0.202036,0.043759,0
SES-006396,0,None,4.5,0.134313,0.028297,0
SES-004932,0,None,3.7,0.219672,0.047786,0
SES-010131,0,None,6.7,0.608502,0.136561,0
SES-001321,0,None,3.7273,0.09365,0.019014,0
SES-000005,0,None,0.0,0.025138,0.003371,0
SES-005308,0,None,5.275,0.075877,0.014956,0
SES-004848,0,None,7.9857,0.486968,0.108813,0
SES-007194,0,None,3.45,0.431503,0.09615,0
SES-001838,0,None,6.3429,0.16624,0.035587,0
SES-006042,0,None,3.7,0.150382,0.031966,0
SES-001434,0,None,3.6929,0.349539,0.077436,0
SES-001389,0,None,5.7375,0.149574,0.031782,0
SES-009841,0,None,2.575,0.089662,0.018103,0
SES-010517,0,None,9.75,0.270112,0.059302,0
SES-000088,1,Beaconing C2,34.0,1.353976,0.306762,1
SES-012730,0,None,2.3,0.2721,0.059756,0
SES-005194,0,None,6.3,0.074137,0.014558,0
SES-008332,0,None,3.4,0.179492,0.038612,0
SES-011663,0,None,3.3179,0.562597,0.12608,0
SES-001667,0,None,3.3036,0.122716,0.02565,0
SES-009553,0,None,4.5125,0.201392,0.043612,0
SES-008221,0,None,6.9687,0.236311,0.051585,0
SES-009509,0,None,5.2,0.055247,0.010246,0
SES-002900,1,Off-hours Access,28.3,0.53496,0.11977,0
SES-006785,0,None,3.35,0.189518,0.040901,0
SES-001767,0,None,9.0929,0.162774,0.034795,0
SES-002103,0,None,4.35,0.278241,0.061158,0
SES-012063,0,None,4.825,0.138556,0.029266,0
SES-001138,0,None,3.7429,0.29389,0.064731,0
SES-005638,0,None,4.1786,0.139527,0.029488,0
SES-007898,0,None,3.675,0.194533,0.042046,0
SES-004172,0,None,3.7333,0.171524,0.036793,0
SES-004750,0,None,10.9786,0.159786,0.034113,0
SES-012686,0,None,3.3,0.187979,0.04055,0
SES-003661,0,None,6.4,0.141144,0.029857,0
SES-008391,0,None,2.8,0.248872,0.054453,0
SES-003904,0,None,8.7,0.164501,0.03519,0
SES-005479,1,Low-and-Slow Exfiltration,40.1167,0.439764,0.098036,0
SES-012826,0,None,4.5545,0.466696,0.104185,0
SES-009762,0,None,3.95,0.196377,0.042468,0
SES-012661,0,None,5.2429,0.162374,0.034704,0
SES-010063,0,None,0.75,0.054219,0.010011,0
SES-008007,0,None,3.2,0.169864,0.036414,0
SES-001701,0,None,6.9062,0.131486,0.027652,0
SES-012204,0,None,3.9143,0.50956,0.113971,0
SES-006438,0,None,2.9143,0.27627,0.060708,0
SES-004760,0,None,9.975,0.577961,0.129588,0
SES-007980,0,None,10.3643,0.325028,0.07184,0
SES-002558,0,None,2.0375,0.167554,0.035887,0
SES-000936,0,None,0.0,0.120835,0.02522,0
SES-005004,0,None,4.05,0.301948,0.066571,0
SES-009156,0,None,3.7357,0.294171,0.064795,0
SES-005183,0,None,4.8,0.20603,0.044671,0
SES-011542,0,None,3.1143,0.141827,0.030013,0
SES-001300,0,None,2.1162,0.835622,0.188415,1
SES-001782,0,None,6.8068,0.312915,0.069075,0
SES-009248,0,None,3.0429,0.460337,0.102733,0
SES-007010,0,None,8.5143,0.174995,0.037586,0
SES-012077,0,None,4.0062,0.301297,0.066422,0
SES-006726,0,None,9.15,0.123744,0.025884,0
SES-002263,0,None,5.7143,0.148274,0.031485,0
SES-010768,0,None,1.6286,0.353294,0.078294,0
SES-007270,1,Insider Threat,27.1167,0.251686,0.055095,0
SES-001888,0,None,6.8,0.200703,0.043455,0
SES-012448,0,None,5.5,0.126438,0.026499,0
SES-006267,0,None,2.1125,0.137835,0.029102,0
SES-002648,1,Impossible Travel,25.4,0.109518,0.022637,0
SES-011796,0,None,11.1,0.118944,0.024789,0
SES-000547,0,None,7.9429,0.538892,0.120668,0
SES-004472,0,None,4.9538,0.514913,0.115193,0
SES-000614,1,Privilege Escalation,41.375,3.020283,0.687202,1
SES-011441,0,None,0.9,0.03608,0.00587,0
SES-002718,0,None,11.3988,0.191401,0.041331,0
SES-007564,0,None,3.5929,0.464254,0.103627,0
SES-008225,0,None,10.4,0.304271,0.067101,0
SES-011143,0,None,11.525,0.075998,0.014984,0
SES-009576,0,None,3.925,0.124017,0.025947,0
SES-007159,0,None,3.725,0.250451,0.054813,0
SES-002019,0,None,3.275,0.407779,0.090733,0
SES-004357,0,None,6.8167,0.193003,0.041697,0
SES-010782,1,USB Data Theft,37.025,0.089886,0.018154,0
SES-006855,0,None,4.1,0.084302,0.016879,0
SES-007099,0,None,4.6,0.22598,0.049226,0
SES-007754,0,None,3.5,0.145584,0.030871,0
SES-008806,0,None,2.8714,0.134337,0.028303,0
SES-006211,0,None,1.9182,0.270863,0.059474,0
SES-005913,0,None,5.975,0.245825,0.053757,0
SES-007715,0,None,7.3786,0.143543,0.030405,0
SES-010754,0,None,7.85,0.349266,0.077374,0
SES-006708,0,None,10.5313,0.214126,0.04652,0
SES-012586,0,None,5.4286,0.433825,0.09668,0
SES-003121,0,None,7.55,0.156532,0.03337,0
SES-000234,0,None,0.0,0.441982,0.098542,0
SES-009360,0,None,8.875,0.297171,0.06548,0
SES-007712,0,None,1.0,0.047007,0.008364,0
SES-003431,0,None,1.8,0.214446,0.046593,0
SES-011674,0,None,7.4,0.400274,0.08902,0
SES-010135,0,None,3.9429,0.285602,0.062839,0
SES-007476,0,None,9.7562,0.309106,0.068205,0
SES-003984,0,None,7.6357,0.368613,0.081791,0
SES-001232,0,None,8.95,0.175918,0.037797,0
SES-011541,1,Low-and-Slow Exfiltration,43.3643,1.028206,0.232385,1
SES-012270,0,None,3.9167,0.179213,0.038549,0
SES-003141,0,None,6.2769,0.356583,0.079045,0
SES-008070,0,None,4.25,0.165188,0.035347,0
SES-010907,0,None,5.2346,0.277661,0.061026,0
SES-000832,0,None,1.65,0.110205,0.022793,0
SES-005037,0,None,5.825,0.396389,0.088133,0
SES-002589,0,None,4.0875,0.228631,0.049831,0
SES-011641,0,None,3.1071,0.164446,0.035177,0
SES-000867,0,None,0.0,0.153537,0.032687,0
SES-006246,0,None,4.525,0.091776,0.018586,0
SES-004647,0,None,3.55,0.529914,0.118618,0
SES-010759,0,None,7.6846,0.520204,0.116401,0
SES-012473,0,None,5.1,0.278702,0.061263,0
SES-004303,0,None,2.4,0.223851,0.04874,0
SES-010662,0,None,8.8357,0.142128,0.030082,0
SES-010849,0,None,4.5333,0.229628,0.050059,0
SES-012567,0,None,4.275,0.178888,0.038475,0
SES-008306,0,None,3.025,0.165707,0.035465,0
SES-001798,0,None,2.2857,0.215897,0.046924,0
SES-001160,0,None,0.0,0.177797,0.038226,0
SES-003864,0,None,11.2773,0.694965,0.156302,1
SES-010959,1,Brute Force,36.0682,0.73643,0.165769,1
SES-011854,0,None,10.5,0.416097,0.092632,0
SES-000876,1,USB Data Theft,36.8958,0.561038,0.125724,0
SES-007277,0,None,4.0656,0.365953,0.081184,0
SES-000333,0,None,0.0,0.250045,0.054721,0
SES-005949,0,None,3.2,0.034668,0.005547,0
SES-005186,0,None,7.2393,0.370667,0.08226,0
SES-011299,0,None,5.35,0.286366,0.063013,0
SES-012720,0,None,6.4571,0.114033,0.023667,0
SES-002776,0,None,7.825,0.130723,0.027478,0
SES-010252,1,Privilege Escalation,40.8,0.453662,0.101209,0
SES-004162,0,None,5.45,0.164335,0.035152,0
SES-002258,0,None,3.9,0.250628,0.054854,0
SES-010854,0,None,4.0,0.141172,0.029863,0
SES-012067,0,None,3.85,0.696234,0.156591,1
SES-009303,0,None,2.7375,0.18149,0.039069,0
SES-004577,0,None,9.125,0.148926,0.031634,0
SES-002895,1,Suspicious PowerShell,43.0853,0.807715,0.182044,1
SES-006928,0,None,11.65,0.121517,0.025376,0
SES-001079,0,None,7.1102,0.356108,0.078936,0
SES-002078,0,None,3.3571,0.211102,0.045829,0
SES-008478,0,None,10.0357,0.147611,0.031333,0
SES-009729,0,None,1.9833,0.422869,0.094178,0
SES-006195,0,None,9.775,0.063053,0.012028,0
SES-005896,0,None,0.75,0.019784,0.002149,0
SES-008734,0,None,4.575,0.441166,0.098356,0
SES-009371,0,None,3.2,0.206763,0.044839,0
SES-009951,0,None,7.05,0.1206,0.025167,0
SES-007315,0,None,1.8937,0.152899,0.032541,0
SES-006135,0,None,9.3375,0.140087,0.029616,0
SES-006839,0,None,4.375,0.094396,0.019184,0
SES-011028,0,None,11.2769,0.373041,0.082802,0
SES-012339,0,None,5.875,0.435127,0.096977,0
SES-003885,0,None,9.575,0.076302,0.015053,0
SES-006433,0,None,4.6,0.131293,0.027608,0
SES-008488,0,None,7.975,0.199485,0.043177,0
SES-008308,0,None,3.65,0.347057,0.07687,0
SES-009308,0,None,2.1125,0.297641,0.065587,0
SES-011186,0,None,3.825,0.032746,0.005108,0
SES-002389,0,None,5.45,0.148219,0.031472,0
SES-008934,0,None,2.1,0.060474,0.011439,0
SES-004139,0,None,4.2333,0.239563,0.052327,0
SES-010158,0,None,11.8,0.082532,0.016475,0
