device_uuid,device_id,device_type,operating_system,browser,owner_id,trusted
acb83fce-b3e1-411b-a128-04c5f94e485d,DEV-0168,Laptop,Windows,Edge,EMP-0095,True
06103d84-2672-420c-866a-5821ceb7f2d6,DEV-0169,Laptop,Windows,Chrome,EMP-0096,True
aeb00fb9-26cb-4e99-a945-e93a4a454398,DEV-0170,Laptop,Windows,Firefox,EMP-0097,True
ae742530-ceb6-4fdc-b734-a78de2682c9f,DEV-0171,Desktop,Windows,Edge,EMP-0098,True
9bd65068-ba8d-4f8c-be05-fcef842c49fa,DEV-0172,Desktop,Linux,Firefox,EMP-0099,True
4a74982e-56ca-4fb3-a196-2a11c90cd1d3,DEV-0173,Laptop,macOS,Chrome,EMP-0099,True
3d365abf-633b-4fff-aed0-cbcfc6305536,DEV-0174,Desktop,Windows,Firefox,EMP-0100,True
18ef9a28-7f5d-47f8-be91-4b95a0b6d265,DEV-0175,Laptop,Windows,Chrome,EMP-0101,True
de16afca-8c11-4ba4-8f3e-2a2cded64d2a,DEV-0176,Mobile,Android,Chrome,EMP-0101,True
4bacfa4a-ef1e-4acf-ab72-9d66504fde7c,DEV-0177,Laptop,Linux,Chrome,EMP-0102,True
b5ed7ce8-2ddf-4675-9235-d52e16d7ba54,DEV-0178,Laptop,Linux,Chrome,EMP-0102,True
7129e2f6-e06c-4678-835d-8f64418af089,DEV-0179,Mobile,iOS,Safari,EMP-0102,True
496042b0-dbe7-4333-9d0c-82050a22be56,DEV-0180,Laptop,Windows,Chrome,EMP-0103,True
8331d711-5de2-4a7d-b0da-152821051c60,DEV-0181,Laptop,macOS,Firefox,EMP-0103,True
e09dd9e8-4348-4887-b339-3f5d8185716a,DEV-0182,Desktop,Windows,Edge,EMP-0104,True
0e9b65bb-a4d4-4431-ba38-f5a09ee08a70,DEV-0183,Mobile,Android,Chrome,EMP-0104,True
1af4cf72-da62-4059-a791-63f402088c91,DEV-0184,Mobile,iOS,Safari,EMP-0104,True
ab4d738c-7657-437c-9fc8-e06063629509,DEV-0185,Laptop,Linux,Chrome,EMP-0105,True
2e266519-15f8-4768-9bef-39f177009b2e,DEV-0186,Laptop,Windows,Firefox,EMP-0106,True
108134dc-5427-4925-a6ca-0baf3310880a,DEV-0187,Desktop,macOS,Safari,EMP-0107,True
1d447f41-79e9-44e1-bdc4-d680b3c95502,DEV-0188,Laptop,macOS,Chrome,EMP-0107,True
9175fc63-51f7-4017-b6a5-fabaa3e53892,DEV-0189,Laptop,Windows,Chrome,EMP-0108,True
cefc0e85-efbb-4216-8ff9-7696615a58bd,DEV-0190,Mobile,iOS,Safari,EMP-0108,True
c234af07-f3e0-4b1f-85df-9333de36992f,DEV-0191,Laptop,Linux,Chrome,EMP-0109,True
14eae37c-67b2-416c-861e-a8aa11baf616,DEV-0192,Laptop,Windows,Chrome,EMP-0110,True
36cf9429-8657-48ff-ab72-e451df0ccde7,DEV-0193,Mobile,iOS,Safari,EMP-0110,True
f69f239b-578e-411f-adb4-6c7fe6d1fe21,DEV-0194,Laptop,macOS,Chrome,EMP-0111,True
8916f0b7-79ba-447e-bb4b-caf86b4a3541,DEV-0195,Mobile,iOS,Safari,EMP-0111,True
d2b12838-639e-4bbc-9200-4957b161fd16,DEV-0196,Laptop,Windows,Chrome,EMP-0112,True
b9046b52-13eb-4599-b2d4-d3a598dd6c3c,DEV-0197,Mobile,iOS,Safari,EMP-0112,True
d34298be-be2a-45c6-bbfe-cb11f06046a1,DEV-0198,Laptop,Windows,Firefox,EMP-0113,True
ef0ec9cb-756a-4e2d-a581-18d126879443,DEV-0199,Mobile,Android,Chrome,EMP-0113,True
b8e7bcf5-854c-4d1f-8347-09826808f471,DEV-0200,Desktop,Linux,Firefox,EMP-0114,True
94108438-f82e-4e1b-a390-0655730733d5,DEV-0201,Laptop,macOS,Chrome,EMP-0115,True
99d76c9c-2a85-48d1-863e-0e478bcc4e8d,DEV-0202,Laptop,macOS,Chrome,EMP-0116,True
5ec91fdc-03ad-41a4-b481-b9cb93ab8d5e,DEV-0203,Laptop,macOS,Firefox,EMP-0117,True
d1ad5c22-8088-47de-8e95-4929e58b2d2d,DEV-0204,Mobile,Android,Chrome,EMP-0117,True
d403fd02-5a2a-43bd-9a0a-e917690f1c3c,DEV-0205,Laptop,Windows,Chrome,EMP-0118,True
75757602-2d02-423f-ad25-32e51d0678b7,DEV-0206,Laptop,Linux,Firefox,EMP-0118,True
48f79726-61ae-4255-af95-94898af2820e,DEV-0207,Laptop,Linux,Firefox,EMP-0118,True
e7e7eec3-ecd5-4fa3-b01a-50979ed0fe5f,DEV-0208,Desktop,Windows,Chrome,EMP-0119,True
043486c3-a64d-4c1d-96f2-83191a936d0c,DEV-0209,Mobile,Android,Chrome,EMP-0119,True
a22eb45b-1986-433d-8b73-aba7ed5edfa2,DEV-0210,Laptop,Windows,Edge,EMP-0120,True
da095b0c-4a37-4da3-aaef-0d3e085acd62,DEV-0211,Mobile,iOS,Safari,EMP-0120,True
f35757c5-7836-4477-9b39-455032103c49,DEV-0212,Laptop,Linux,Chrome,EMP-0121,True
c8ddd9bb-b42e-4714-a515-81bad206e99a,DEV-0213,Desktop,macOS,Chrome,EMP-0122,True
a89f5f9d-e12d-4f58-8482-0852489a4ca4,DEV-0214,Laptop,Linux,Chrome,EMP-0123,True
0110783e-3dd6-431b-ac5d-71336a2adcad,DEV-0215,Laptop,macOS,Safari,EMP-0123,True
84dac679-d113-45ff-973c-ad845fd90dfe,DEV-0216,Laptop,Windows,Chrome,EMP-0124,True
6e15c527-fe2a-4cbc-927a-e04ef58b8c61,DEV-0217,Mobile,Android,Chrome,EMP-0124,True
0d346977-d41b-48bf-a4b0-78a7a4f9a67f,DEV-0218,Laptop,macOS,Chrome,EMP-0124,True
6732ceca-2c78-4c22-ba65-983dfa33fa98,DEV-0219,Laptop,Linux,Firefox,EMP-0125,True
20572e73-cd19-4b5e-b5c4-3078197df05f,DEV-0220,Mobile,Android,Chrome,EMP-0125,True
d65bc676-429e-40e0-aaaa-94c8a097efe3,DEV-0221,Laptop,macOS,Safari,EMP-0126,True
c520d50f-a0ff-4498-82f4-298f6ffad356,DEV-0222,Desktop,Windows,Chrome,EMP-0127,True
067965ab-61e5-48ca-9261-14b7142a6f47,DEV-0223,Laptop,Windows,Firefox,EMP-0128,True
c7101f3d-a1aa-49f0-a26c-2d5a742617e7,DEV-0224,Mobile,Android,Chrome,EMP-0128,True
b9ef9fa8-3ec8-4e58-9728-2d3089111a42,DEV-0225,Laptop,macOS,Chrome,EMP-0129,True
153d1653-4664-4858-8d3f-69eda8c51cca,DEV-0226,Mobile,Android,Chrome,EMP-0129,True
ed5cea4e-7589-44f5-9c66-021e1a79aec1,DEV-0227,Laptop,macOS,Safari,EMP-0130,True
13cf44fe-17c0-4e28-ae3d-9de2e504d1c6,DEV-0228,Laptop,Linux,Chrome,EMP-0130,True
cba20d38-7db4-490d-99c5-9f2d640b7b85,DEV-0229,Laptop,Linux,Firefox,EMP-0130,True
e3c443f1-6010-4b93-ab7f-0864aff54774,DEV-0230,Laptop,macOS,Chrome,EMP-0131,True
a8dfe59a-2dbd-47cf-a754-d4c302988dd2,DEV-0231,Desktop,Windows,Chrome,EMP-0132,True
feb2d172-7be1-4731-98c6-d166fe65b782,DEV-0232,Laptop,Windows,Firefox,EMP-0133,True
4126fa8f-bddf-47eb-8591-5036288c2222,DEV-0233,Mobile,Android,Chrome,EMP-0133,True
375fdd57-2700-460b-82ce-56bd8301b3a6,DEV-0234,Laptop,Linux,Chrome,EMP-0134,True
155c8139-3842-43b4-a378-ff4453d9a4dd,DEV-0235,Mobile,iOS,Safari,EMP-0134,True
178b55e7-f406-46e0-b301-3b087b487db6,DEV-0236,Mobile,Android,Chrome,EMP-0134,True
f243b5c6-833d-4595-afa1-c2327eecdc53,DEV-0237,Laptop,Windows,Edge,EMP-0135,True
f63d3295-47f5-4a35-b7a7-45e2e327119f,DEV-0238,Laptop,Linux,Firefox,EMP-0136,True
b8d8f272-f429-405d-b4b1-6488cb4a1b4b,DEV-0239,Laptop,Windows,Chrome,EMP-0137,True
5199839c-d0de-4fb6-858c-6c02bf409640,DEV-0240,Laptop,macOS,Chrome,EMP-0137,True
d1c06099-a1f8-46ce-a5dc-6ce55fbbdfd7,DEV-0241,Laptop,Linux,Firefox,EMP-0138,True
68e931d8-963d-401f-80c8-c7a382e847ae,DEV-0242,Laptop,Linux,Chrome,EMP-0138,True
1d59b308-07aa-4515-a5f7-6d065a2d465b,DEV-0243,Desktop,Windows,Firefox,EMP-0139,True
3ecd2b8c-5b95-4506-af98-1e44ca782f58,DEV-0244,Mobile,iOS,Safari,EMP-0139,True
b033ee83-518f-4ed4-8277-4ef31f4f4a0f,DEV-0245,Laptop,Windows,Edge,EMP-0140,True
